"Date","Open","High","Low","Close","VWAP","Volume","% Chg","$ Chg","Trade Val","# Trades"
"2025-08-07","634.48","635.22","627.37","630.50","630.60","74,205,791","-0.08%","-0.528535","46,934,028,016","835,612"
"2025-08-06","627.31","631.69","626.39","631.03","629.83","64,357,525","0.77%","4.7967","3,728,960,836","690,528"
"2025-08-05","630.04","630.86","625.31","626.23","627.28","68,051,401","-0.51%","-3.1912","5,918,426,723","806,970"
"2025-08-04","623.94","629.47","623.85","629.42","627.85","73,218,015","1.52%","9.42","27,620,707,377","802,224"
"2025-08-01","624.57","624.61","617.58","620.00","82.58","140,103,572","-1.64%","-10.33","31,862,983,718","1,466,036"
"2025-07-31","637.69","638.08","629.02","630.33","633.42","103,385,246","-0.38%","-2.3734","65,661,826,589","1,017,927"
"2025-07-30","634.16","635.92","629.79","632.71","633.14","80,418,851","-0.13%","-0.797788","14,155,949,753","820,327"
"2025-07-29","636.59","636.90","632.58","633.50","634.30","60,556,278","-0.26%","-1.6754","38,519,810,002","708,685"
"2025-07-28","635.72","636.28","633.78","635.18","635.09","54,917,102","-0.03%","-0.159558","34,973,960,698","630,221"
"2025-07-25","633.33","635.82","633.08","635.34","634.78","56,865,364","0.42%","2.6726","17,741,915,137","594,268"
"2025-07-24","632.85","634.39","632.24","632.67","633.36","71,307,134","0.03%","0.209419","8,384,531,136","764,228"
"2025-07-23","629.80","632.46","627.99","632.46","630.47","70,511,036","0.85%","5.34","44,562,800,586","765,757"
"2025-07-22","627.36","627.99","624.46","627.12","217.53","60,046,288","0.01%","0.089751","19,279,205,070","763,923"
"2025-07-21","627.03","629.79","626.60","627.03","218.89","63,374,984","0.19%","1.1867","21,473,980,583","709,882"
"2025-07-18","627.56","627.73","624.73","625.84","625.73","65,621,645","-0.07%","-0.458728","41,196,896,844","594,590"
"2025-07-17","622.67","626.67","622.45","626.30","625.30","68,885,683","0.61%","3.8094","24,731,959,293","687,873"
"2025-07-16","622.02","623.00","616.34","622.49","620.42","88,987,511","0.33%","2.0742","18,475,726,947","961,977"
"2025-07-15","625.78","626.12","620.34","620.42","622.51","74,317,260","-0.43%","-2.6626","46,398,783,392","828,429"
"2025-07-14","621.44","623.43","620.08","623.08","622.24","51,898,518","0.19%","1.1867","13,935,353,418","626,511"
"2025-07-11","621.02","623.13","619.81","621.90","622.07","63,670,226","-0.35%","-2.1939","39,719,449,841","748,954"
"2025-07-10","622.47","625.14","621.29","624.09","190.74","57,528,960","0.28%","1.7551","35,973,541,068","648,827"
"2025-07-09","621.05","622.99","619.19","622.33","621.26","66,113,326","0.60%","3.7097","22,737,909,467","735,006"
"2025-07-08","619.63","620.39","617.81","618.62","618.95","59,024,585","-0.06%","-0.33906","18,189,222,179","675,767"
"2025-07-07","621.64","622.30","616.16","618.96","619.02","74,814,505","-0.75%","-4.6471","46,450,169,191","863,297"
"2025-07-03","620.73","624.55","620.71","623.61","97.45","51,065,789","0.79%","4.8765","31,898,335,544","484,820"
"2025-07-02","615.53","618.77","614.91","618.73","617.47","66,510,374","0.45%","2.7923","41,178,777,008","679,096"
"2025-07-01","614.66","617.12","613.82","615.94","615.73","70,030,140","-0.03%","-0.199447","43,240,835,545","746,893"
"2025-06-30","615.67","617.51","613.34","616.14","615.42","92,502,541","0.48%","2.9319","38,630,004,278","858,420"
"2025-06-27","611.19","614.69","609.14","613.21","612.25","86,258,398","0.50%","3.0316","52,957,726,052","806,398"
"2025-06-26","607.31","610.62","606.69","610.18","609.25","78,548,361","0.78%","4.7369","47,947,947,466","630,319"
"2025-06-25","606.23","606.93","603.87","605.44","605.45","62,114,767","0.06%","0.33906","37,710,068,945","645,738"
"2025-06-24","602.66","606.17","601.74","605.10","209.25","67,735,293","1.11%","6.61","22,592,746,737","682,472"
"2025-06-23","593.39","598.88","590.25","598.49","595.66","87,426,039","0.99%","5.85","33,759,096,364","920,346"
