Date,Open,High,Low,Close,VWAP,Volume,Return,$ Chg,Trade Val,# Trades,
2019-11-01,--,--,--,19.7,--,--,0.96%,0.187785,--,--,
2019-10-31,--,--,--,19.51,--,--,0.00%,--,--,--,
2019-10-30,--,--,--,19.51,--,--,0.44%,0.084503,--,--,
2019-10-29,--,--,--,19.43,--,--,-0.72%,-0.140839,--,--,
2019-10-28,--,--,--,19.57,--,--,0.97%,0.187786,--,--,
2019-10-25,--,--,--,19.38,--,--,0.78%,0.150227,--,--,
2019-10-24,--,--,--,19.23,--,--,0.94%,0.178395,--,--,
2019-10-23,--,--,--,19.05,--,--,0.20%,0.037557,--,--,
2019-10-22,--,--,--,19.01,--,--,-0.83%,-0.159616,--,--,
2019-10-21,--,--,--,19.17,--,--,0.89%,0.169005,--,--,
2019-10-18,--,--,--,19,--,--,-0.93%,-0.178395,--,--,
2019-10-17,--,--,--,19.18,--,--,0.30%,0.056335,--,--,
2019-10-16,--,--,--,19.13,--,--,-0.29%,-0.056335,--,--,
2019-10-15,--,--,--,19.18,--,--,1.24%,0.23473,--,--,
2019-10-11,--,--,--,18.95,--,--,1.31%,0.244121,--,--,
2019-10-10,--,--,--,18.7,--,--,0.66%,0.12206,--,--,
2019-10-09,--,--,--,18.58,--,--,1.12%,0.206563,--,--,
2019-10-08,--,--,--,18.37,--,--,-1.56%,-0.291065,--,--,
2019-10-07,--,--,--,18.67,--,--,-0.40%,-0.075115,--,--,
2019-10-04,--,--,--,18.74,--,--,1.53%,0.281677,--,--,
2019-10-03,--,--,--,18.46,--,--,1.18%,0.215952,--,--,
2019-10-02,--,--,--,18.24,--,--,-1.77%,-0.328623,--,--,
2019-10-01,--,--,--,18.57,--,--,-0.85%,-0.159616,--,--,
2019-09-30,--,--,--,18.73,--,--,0.86%,0.159616,--,--,
2019-09-27,--,--,--,18.57,--,--,-1.15%,-0.215952,--,--,
2019-09-26,--,--,--,18.79,--,--,-0.40%,-0.075114,--,--,
2019-09-25,--,--,--,18.86,--,--,1.21%,0.225341,--,--,
2019-09-24,--,--,--,18.64,--,--,-1.39%,-0.262898,--,--,
2019-09-23,--,--,--,18.9,--,--,-0.05%,-0.009388,--,--,
2019-09-20,--,--,--,18.91,--,--,-0.98%,-0.187786,--,--,
2019-09-19,--,--,--,19.1,--,--,0.15%,0.028169,--,--,
2019-09-18,--,--,--,19.07,--,--,0.00%,--,--,--,
2019-09-17,--,--,--,19.07,--,--,0.45%,0.084502,--,--,
2019-09-16,--,--,--,18.99,--,--,-0.49%,-0.093892,--,--,
2019-09-13,--,--,--,19.08,--,--,-0.34%,-0.065725,--,--,
2019-09-12,--,--,--,19.14,--,--,0.39%,0.075115,--,--,
2019-09-11,--,--,--,19.07,--,--,0.94%,0.178394,--,--,
2019-09-10,--,--,--,18.89,--,--,-0.20%,-0.037557,--,--,
2019-09-09,--,--,--,18.93,--,--,-0.30%,-0.056335,--,--,
2019-09-06,--,--,--,18.99,--,--,-0.10%,-0.018779,--,--,
2019-09-05,--,--,--,19,--,--,1.81%,0.338014,--,--,
2019-09-04,--,--,--,18.67,--,--,1.48%,0.272287,--,--,
2019-09-03,--,--,--,18.39,--,--,-1.11%,-0.206563,--,--,
2019-08-30,--,--,--,18.6,--,--,-0.15%,-0.028168,--,--,
2019-08-29,--,--,--,18.63,--,--,1.54%,0.281677,--,--,
2019-08-28,--,--,--,18.35,--,--,0.31%,0.056336,--,--,
2019-08-27,--,--,--,18.29,--,--,-0.15%,-0.028168,--,--,
2019-08-26,--,--,--,18.32,--,--,1.46%,0.262898,--,--,
2019-08-23,--,--,--,18.06,--,--,-3.12%,-0.582133,--,--,
2019-08-22,--,--,--,18.64,--,--,-0.35%,-0.065724,--,--,
2019-08-21,--,--,--,18.7,--,--,0.91%,0.169006,--,--,
2019-08-20,--,--,--,18.53,--,--,-0.70%,-0.131448,--,--,
2019-08-19,--,--,--,18.67,--,--,1.48%,0.272287,--,--,
2019-08-16,--,--,--,18.39,--,--,1.61%,0.291066,--,--,
2019-08-15,--,--,--,18.1,--,--,-0.10%,-0.018779,--,--,
2019-08-14,--,--,--,18.12,--,--,-3.02%,-0.563354,--,--,
2019-08-13,--,--,--,18.68,--,--,2.21%,0.403737,--,--,
2019-08-12,--,--,--,18.28,--,--,-1.12%,-0.206563,--,--,
2019-08-09,--,--,--,18.49,--,--,-1.01%,-0.187784,--,--,
2019-08-08,--,--,--,18.68,--,--,2.26%,0.413126,--,--,
2019-08-07,--,--,--,18.26,--,--,0.41%,0.075114,--,--,
2019-08-06,--,--,--,18.19,--,--,-2.22%,-0.413126,--,--,
2019-08-02,--,--,--,18.6,--,--,-1.39%,-0.262899,--,--,
2019-08-01,--,--,--,18.86,--,--,-0.64%,-0.12206,--,--,
2019-07-31,--,--,--,18.99,--,--,-1.27%,-0.24412,--,--,
2019-07-30,--,--,--,19.23,--,--,-0.49%,-0.093893,--,--,
2019-07-29,--,--,--,19.32,--,--,-0.34%,-0.065724,--,--,
2019-07-26,--,--,--,19.39,--,--,1.08%,0.206563,--,--,
2019-07-25,--,--,--,19.18,--,--,-1.02%,-0.197173,--,--,
2019-07-24,--,--,--,19.38,--,--,0.73%,0.140838,--,--,
2019-07-23,--,--,--,19.24,--,--,0.64%,0.122059,--,--,
2019-07-22,--,--,--,19.12,--,--,0.89%,0.169006,--,--,
2019-07-19,--,--,--,18.95,--,--,-0.88%,-0.169006,--,--,
2019-07-18,--,--,--,19.12,--,--,0.20%,0.037558,--,--,
2019-07-17,--,--,--,19.08,--,--,-0.49%,-0.093892,--,--,
